"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"Dosage","","","",0,*,"","","","","SHR Dosage Profile","The dosage of the medication, prescribed or taken.","","","","","","","","","",,,,,"",,,,"",0,null,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() | (children().count() > id.count())}
","n/a",".outboundRelationship[typeCode=COMP].target[classCode=SBADM, moodCode=INT]"
"Dosage.id","","","",0,1,"","","","string {[]} {[]}
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Dosage.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional Content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. In order to make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","","n/a"
"Dosage.sequence","","","",0,1,"","","Y","integer {[]} {[]}
","The order of the dosage instructions","Indicates the order in which the dosage instructions should be applied or interpreted.","","If the sequence number of multiple Dosages is the same, then it is implied that the instructions are to be treated as concurrent.  If the sequence number is different, then the Dosages are intended to be sequential.","","","","","","","",,,,,"",,,,"",0,null,"","",".text"
"Dosage.text","","","",0,1,"","","Y","string {[]} {[]}
","Free text dosage instructions e.g. SIG","Free text dosage instructions e.g. SIG.","","Free text dosage instructions can be used for cases where the instructions are too complex to code.  The content of this attribute does not include the name or description of the medication. When coded instructions are present, the free text instructions may still be present for display to humans taking or administering the medication. It is expected that the text instructions will always be populated.  If the dosage.timing attribute is also populated, then the dosage.text should reflect the same information as the timing.","","","","","","","",,,,,"",,,,"",0,null,"","",".text"
"Dosage.additionalInstruction","","","",0,*,"","","Y","CodeableConcept {[CanonicalType[http://standardhealthrecord.org/fhir/StructureDefinition/shr-core-CodeableConcept]]} {[]}
","Supplemental instruction - e.g. ""with meals""","Supplemental instruction - e.g. ""with meals"".","","Additional instruction such as ""Swallow with plenty of water"" which may or may not be coded.","","","","","","","",,"required","A coded concept identifying additional instructions such as ""take with water"" or ""avoid operating heavy machinery"".","http://hl7.org/fhir/ValueSet/additional-instruction-codes","",,,,"",0,null,"","",".text"
"Dosage.patientInstruction","","","",0,1,"","","Y","string {[]} {[]}
","Patient or consumer oriented instructions","Instructions in terms that are understood by the patient or consumer.","","","","","","","","","",,,,,"",,,,"",0,null,"","",".text"
"Dosage.timing","","","",1,1,"","","Y","Timing {[CanonicalType[http://standardhealthrecord.org/fhir/StructureDefinition/shr-core-Timing]]} {[]}
","When medication should be administered","When medication should be administered.","This attribute may not always be populated while the Dosage.text is expected to be populated.  If both are populated, then the Dosage.text should reflect the content of the Dosage.timing.","The timing schedule for giving the medication to the patient. The Schedule data type allows many different expressions. For example: ""Every 8 hours""; ""Three times a day""; ""1/2 an hour before breakfast for 10 days from 23-Dec 2011:""; ""15 Oct 2013, 17 Oct 2013 and 1 Nov 2013"".  Sometimes, a rate can imply duration when expressed as total volume / duration (e.g.  500mL/2 hours implies a duration of 2 hours).  However, when rate doesn't imply duration (e.g. 250mL/hour), then the timing.repeat.duration is needed to convey the infuse over time period.","","","","","","","",,,,,"",,,,"",0,null,"","",".effectiveTime"
"Dosage.asNeeded[x]","","","",1,1,"","","Y","boolean {[]} {[]}
CodeableConcept {[CanonicalType[http://standardhealthrecord.org/fhir/StructureDefinition/shr-core-CodeableConcept]]} {[]}","Take ""as needed"" (for x)","Indicates whether the Medication is only taken when needed within a specific dosing schedule (Boolean option), or it indicates the precondition for taking the Medication (CodeableConcept).","Can express ""as needed"" without a reason by setting the Boolean = True.  In this case the CodeableConcept is not populated.  Or you can express ""as needed"" with a reason by including the CodeableConcept.  In this case the Boolean is assumed to be True.  If you set the Boolean to False, then the dose is given according to the schedule and is not ""prn"" or ""as needed"".","","","","","","","","",,"example","A coded concept identifying the precondition that should be met or evaluated prior to consuming or administering a medication dose.  For example ""pain"", ""30 minutes prior to sexual intercourse"", ""on flare-up"" etc.","http://hl7.org/fhir/ValueSet/medication-as-needed-reason","","type:$this}
","",,"open","",0,null,"","",".outboundRelationship[typeCode=PRCN].target[classCode=OBS, moodCode=EVN, code=""as needed""].value=boolean or codable concept"
