"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Extension","","","",0,*,"","","","","SHR PerformedContext Extension","ActionContext indicating actual performance or execution of a healthcare-related action, e.g., 3rd dose of Hepatitis B vaccine administered on Dec 4th 2012, appendectomy performed today.","","","","","","","","","",,,,,"",,,,"Extension",0,1,"ele-1
","ele-1:All FHIR elements must have a @value or children {children().count() > id.count()}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Extension.id","","","",0,1,"","","","string
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Extension.extension","","","",0,*,"","","","Extension
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","",,"open","Element.extension",0,*,"",""
"Extension.extension","reason","","",0,*,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-core-Reason-extension}
","","The justification for an action or non-action, conclusion, opinion, etc.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","occurrencetimeorperiod","","",0,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-core-OccurrenceTimeOrPeriod-extension}
","","The point in time or span of time in which something happens.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","participant","","",0,*,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-action-Participant-extension}
","","An object (usually a Person, Party, or Organization but potentially a device or other Entity) that participates in a task or activity.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","status","","",1,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-action-Status-extension}
","","Position in workflow.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension.id","","","",0,1,"","","","string
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Extension.extension.extension","extension","","",0,0,"","","","Extension
","Extension","An Extension","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"",""
"Extension.extension.url","","","",1,1,"","","","uri
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://standardhealthrecord.org/fhir/StructureDefinition/shr-action-Status-extension""/>","","","","",,,,,"",,,,"Extension.url",1,1,"",""
"Extension.extension.value[x]","","","",1,1,"","","","code
CodingCodeableConcept","Value of extension","Value of extension - may be a resource or one of a constrained set of the data types (see Extensibility in the spec for list).","","","","","","","","","",,"preferred","","http://hl7.org/fhir/ValueSet/event-status","",,,,"Extension.value[x]",0,1,"",""
"Extension.extension","method","","",0,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-action-Method-extension}
","","The technique used to carry out an action, for example, the specific imaging technical or assessment vehicle.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","relatedrequest","","",0,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-action-RelatedRequest-extension}
","","The request that this action fulfills","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","relatedplan","","",0,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-action-RelatedPlan-extension}
","","The plan that this action fulfills","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","facility","","",0,*,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-entity-Facility-extension}
","","Services and space and equipment provided for a particular purpose; a building or place that provides a particular service or is used for a particular industry. Could be a clinical site, community site, or a mobile facility.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","outcome","","",0,*,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-action-Outcome-extension}
","","The result of performing an action or behavior, for example, an adverse reaction or new finding.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.url","","","",1,1,"","","","uri
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://standardhealthrecord.org/fhir/StructureDefinition/shr-action-PerformedContext-extension""/>","","","","",,,,,"",,,,"Extension.url",1,1,"",""
"Extension.value[x]","","","",0,0,"","","","base64Binary
booleancodedatedateTimedecimalidinstantintegermarkdownoidpositiveIntstringtimeunsignedInturiAddressAgeAnnotationAttachmentCodeableConceptCodingContactPointCountDistanceDurationHumanNameIdentifierMoneyPeriodQuantityRangeRatioReferenceSampledDataSignatureTimingMeta","Value of extension","Value of extension - may be a resource or one of a constrained set of the data types (see Extensibility in the spec for list).","","","","","","","","","",,,,,"",,,,"Extension.value[x]",0,1,"",""
