"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Extension","","","",0,*,"","","","","SHR Person Extension","A person. In practical terms, people relevant to the health or social situation of the subject (including the person of record).","","","","","","","","","",,,,,"",,,,"Extension",0,1,"ele-1
","ele-1:All FHIR elements must have a @value or children {children().count() > id.count()}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Extension.id","","","",0,1,"","","","string
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Extension.extension","","","",0,*,"","","","Extension
","Extension","An Extension","","","","","","","","","",,,,,"","url
","",,"open","Element.extension",0,*,"",""
"Extension.extension","humanname","","",0,*,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-core-HumanName-extension}
","","A name used by a human being, written as it would be typically expressed. May include a breakdown of the various elements of the name (family name, given name, etc.).","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","anonymized","","",0,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-actor-Anonymized-extension}
","","Flag indicating if personally identifiable information has been withheld.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","fictionalperson","","",0,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-actor-FictionalPerson-extension}
","","Flag indicating if this record represents a fictional (synthetic, not real) person.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","dateofbirth","","",0,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-actor-DateOfBirth-extension}
","","A date of birth or approximate year or period (year or date range), if estimated.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","administrativegender","","",0,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-actor-AdministrativeGender-extension}
","","Gender is used to refer to administrative sex rather than biological sex and therefore should easily be classified into female and male.  This attribute does not include terms related to clinical gender.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","addressused","","",0,*,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-demographics-AddressUsed-extension}
","","An address used by for dwelling, work, or other purposes. May be a physical location or an address used only for deliveries, such as a PO box.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","telecom","","",0,*,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-demographics-Telecom-extension}
","","An electronic means of contacting an organization or individual.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","languageused","","",0,*,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-actor-LanguageUsed-extension}
","","Language used for communication by a human, either the subject of record, parent, or other involved person.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","deceased","","",0,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-actor-Deceased-extension}
","","Date or time of death, or boolean indicates the person is deceased.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.url","","","",1,1,"","","","uri
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://standardhealthrecord.org/fhir/StructureDefinition/shr-actor-Person-extension""/>","","","","",,,,,"",,,,"Extension.url",1,1,"",""
"Extension.value[x]","","","",0,0,"","","","base64Binary
booleancodedatedateTimedecimalidinstantintegermarkdownoidpositiveIntstringtimeunsignedInturiAddressAgeAnnotationAttachmentCodeableConceptCodingContactPointCountDistanceDurationHumanNameIdentifierMoneyPeriodQuantityRangeRatioReferenceSampledDataSignatureTimingMeta","Value of extension","Value of extension - may be a resource or one of a constrained set of the data types (see Extensibility in the spec for list).","","","","","","","","","",,,,,"",,,,"Extension.value[x]",0,1,"",""
