"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Extension","","","",0,*,"","","","","SHR Author Extension","The person or organization who created the entry and is responsible for (and may certify) its content.","","","","","","","","","",,,,,"",,,,"Extension",0,1,"ele-1
","ele-1:All FHIR elements must have a @value or children {children().count() > id.count()}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Extension.id","","","",0,1,"","","","string
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
<<<<<<< HEAD
"Extension.extension","extension","","",0,0,"","","","Extension
","Extension","An Extension","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"",""
=======
"Extension.extension","","","",0,*,"","","","Extension
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","",,"open","Element.extension",0,*,"",""
"Extension.extension","string","","",0,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/primitive-string-extension}
","","The person or organization who created the entry and is responsible for (and may certify) the content.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","patient","","",0,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-entity-Patient-extension}
","","A person in the role of a patient, including extended demographic information about the subject of this health record.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","group","","",0,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-entity-Group-extension}
","","A set of entities (personnel, material, or places) to be considered together. May be a pool of like-type resources, a team, or combination of personnel, material and places.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","device","","",0,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-device-Device-extension}
","","A specific durable physical device used in diagnosis or treatment. The value is the coding for a type of device, for example, a CPAP machine. The same device might be used on multiple patients.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","participant","","",0,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-action-Participant-extension}
","","An object (usually a Person, Party, or Organization but potentially a device or other Entity) that participates in a task or activity.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","relatedperson","","",0,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-entity-RelatedPerson-extension}
","","A person in a role defined in relationship to a patient","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
"Extension.extension","organization","","",0,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-entity-Organization-extension}
","","A social or legal structure formed by human beings.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"",""
>>>>>>> 92b20c342... 12/19/17 updates
"Extension.url","","","",1,1,"","","","uri
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://standardhealthrecord.org/fhir/StructureDefinition/shr-base-Author-extension""/>","","","","",,,,,"",,,,"Extension.url",1,1,"",""
"Extension.value[x]","","","",1,1,"","","","Reference {http://standardhealthrecord.org/fhir/StructureDefinition/shr-demographics-PersonOfRecord}
Reference {http://standardhealthrecord.org/fhir/StructureDefinition/shr-actor-Practitioner}Reference {http://standardhealthrecord.org/fhir/StructureDefinition/shr-actor-RelatedPerson}Reference {http://standardhealthrecord.org/fhir/StructureDefinition/shr-actor-Organization}Reference {http://standardhealthrecord.org/fhir/StructureDefinition/shr-device-Device}","Value of extension","Value of extension - may be a resource or one of a constrained set of the data types (see Extensibility in the spec for list).","","","","","","","","","",,,,,"",,,,"Extension.value[x]",0,1,"",""
